NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s077"	6	8	40.875469	40.875469	6870	44000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s076"	6	8	53.217534	53.217534	8452	43000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s001"	6	8	56.142553	56.142553	3690	42000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s092"	6	8	60.808925	60.808925	5443	41000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s093"	6	8	49.127058	49.127058	2838	41000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s049"	6	8	85.711314	85.711314	7475	42000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s048"	6	8	60.720017	60.720018	8413	42000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s023"	6	8	87.996632	87.996632	4997	42000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s022"	6	8	71.902575	71.902574	5715	46000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s054"	6	8	41.762982	41.762982	5839	46000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s055"	6	8	82.837881	82.837882	3404	42000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s060"	6	8	88.389802	88.389802	5357	43000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s061"	6	8	88.582252	88.582252	7537	46000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s029"	6	8	53.423248	53.423248	5636	42000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s028"	6	8	66.065068	66.065067	210	45000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s085"	6	8	54.651281	54.651281	3106	43000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s084"	6	8	71.447803	71.447803	2917	41000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s017"	6	8	54.924059	54.924060	6809	41000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s016"	6	8	74.192630	74.192631	9142	45000	true	true
